invoice_number,description,quantity,unit_price,total
03,X 20 LB 40.500LB CS,2.0,95.225,95.225
03,1.000 CS MILK OAT  12 X 32 OZ 28.000LB CS,3210.0,39.948,39.948
03,Total Weight,63.0,668.5,668.5
03,DAYS 444434,7.0,7.0,7.0
03,CUSTOMER COPY,923.0,12.0,12.0
03,LB 600.000LB CS,50.0,24.063,24.063
03,1.000 CS CORNMEAL YELLOW FINE  25 LB 26.000LB CS,103800.0,25.101,25.101
03,1.000 CS GLOVE NITRILE MEDIUM  10 x,160908.0,5.0,5.0
03,s1.000 29.783,78.0,1.0,1.0
03,X 5 LB 26.000LB CS,4.0,80.25,80.25
03,1.000 CS POPPY SEED  4 X 5.5 LB 26.000LB CS,156651.0,96.0,96.0
03,Total Weight,75.0,683.0,683.0
03,DAYS 444438,7.0,7.0,7.0
03,DAYS 444038,7.0,7.0,7.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,x 100 ct 5.000LB CS 35.38 s1.000,10.0,111361.0,111361.0
03,CS TAHINI EXTRA  12 X 454 GRM 13.000LB CS,0.0,57.776,57.776
03,3.000 CS MILK OAT  12 X 32 OZ 84.000LB CS,3210.0,39.948,39.948
03,1.000 CS EGGS LIQUID  2 X 20 LB 40.500LB CS,191928.0,100.35,100.35
03,Total Weight,38.0,642.5,642.5
03,DAYS 443328,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,8.0,8.0
03,LB 400.000LB CS,50.0,24.063,24.063
03,1.000 CS PAN SPRAY PREMIUM  6 X 14 OZ 6.850LB CS,66523.0,34.038,34.038
03,1.000 CS SALT KOSHER COARSE  9 X 3 LB 28.800LB CS,109609.0,75.076,75.076
03,1.000 CS ONION MINCED  4 X 4.5 LB 22.000LB CS,154551.0,104.0,104.0
03,1.000 CS GARLIC MINCED  4 X 6 LB 32.000LB CS,153051.0,112.0,112.0
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,1.000 CS MILK OAT  12 X 32 OZ 28.000LB CS,3210.0,39.948,39.948
03,1.000 CS EGGS LIQUID  2 X 20 LB 40.500LB CS,191928.0,100.35,100.35
03,DAYS 442951,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,1.000 CS EGGS LIQUID  2 X 20 LB 40.500LB CS,191928.0,100.35,100.35
03,X 2.000 EA HALF & HALF  QT 4.376LB EA,3244.0,2.665,2.665
03,Total Weight,6.0,549.88,549.88
03,DAYS 442484,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,12.0,12.0
03,LB 600.000LB CS,50.0,24.063,24.063
03,1.000 BG MALT POWDER DIASTATIC+  50 LB 50.000LB BG,151011.0,119.177,119.177
03,1.000 CS JALAPENO SLICED  6 #10 45.000LB CS,33425.0,51.329,51.329
03,3.000 CS MILK OAT  12 X 32 OZ 84.000LB CS,3210.0,39.948,39.948
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,1.000 CS SUGAR GRANULATED CANE  25 LB 26.000LB CS,109950.0,29.147,29.147
03,Total Weight,51.0,831.0,831.0
03,DAYS 442607,7.0,6.0,6.0
03,DAYS 442484,7.0,6.0,6.0
03,CUSTOMER COPY,923.0,12.0,12.0
03,LB 600.000LB CS,50.0,24.063,24.063
03,1.000 BG MALT POWDER DIASTATIC+  50 LB 50.000LB BG,151011.0,119.177,119.177
03,1.000 CS JALAPENO SLICED  6 #10 45.000LB CS,33425.0,51.329,51.329
03,3.000 CS MILK OAT  12 X 32 OZ 84.000LB CS,3210.0,39.948,39.948
03,1.000 CS SESAME SEEDS WHITE+  4 X 5 LB 26.000LB CS,157301.0,80.25,80.25
03,1.000 CS SUGAR GRANULATED CANE  25 LB 26.000LB CS,109950.0,29.147,29.147
03,Total Weight,51.0,831.0,831.0
03,DAYS 442607,7.0,6.0,6.0
03,DAYS 446026,7.0,8.0,8.0
03,CUSTOMER COPY,923.0,10.0,10.0
03,LB 500.000LB CS,50.0,24.063,24.063
03,1.000 CS ALMOND BARISTA BLEND  12 X,3204.0,27.66,27.66
03,1.000 CS EGGS LIQUID  2 X 20 LB 40.500LB CS,191928.0,95.225,95.225
03,2.000 CS LIMONATA CANS  24 X 11 OZ 40.000LB CS,41810.0,27.81,27.81
03,Total Weight,62.0,608.16,608.16
20065629,Frank's Quality Produce,98122.0,1.0,1.0
20065629,"ONION, GREEN   12BN BAG2",92.0,20.0,20.0
20065629,"ONION, WHITE   #10",0.0,9.9,9.9
20065629,"AVOCADO, 1 LAYER1",94.0,39.0,39.0
20065629,Sales Tax 10.25%,50.0,109.26,109.26
20066901,Frank's Quality Produce,98122.0,1.0,1.0
20066901,"CUCUMBER, XFANCY LG   EA12",90.0,10.8,10.8
20066901,"HERBS, DILL BABY   #1",0.0,11.0,11.0
20066901,FUEL SURCHARGE,94.0,7.5,7.5
20068140,Frank's Quality Produce,98122.0,1.0,1.0
20068140,"CUCUMBER, XFANCY LG   EA12",90.0,10.8,10.8
20068140,"ONION, GREEN   12BN BAG2",94.0,20.0,20.0
20068140,FUEL SURCHARGE,0.0,7.5,7.5
20068978,Frank's Quality Produce,98122.0,1.0,1.0
20068978,"CUCUMBER, XFANCY LG   EA12",88.0,10.8,10.8
20068978,"ONION, GREEN   12BN BAG2",94.0,20.0,20.0
20068978,FUEL SURCHARGE,0.0,7.5,7.5
20071084,Frank's Quality Produce,98122.0,1.0,1.0
20071084,"CUCUMBER, XFANCY LG   EA12",88.0,10.8,10.8
20071084,"ONION, GREEN   12BN BAG2",94.0,20.0,20.0
20071084,FUEL SURCHARGE,0.0,7.5,7.5
20072265,Frank's Quality Produce,98122.0,1.0,1.0
20072265,"CUCUMBER, XFANCY LG   EA10",90.0,9.0,9.0
20072265,"ONION, GREEN   12BN BAG1",94.0,10.0,10.0
20072265,FUEL SURCHARGE,0.0,7.5,7.5
20072898,Frank's Quality Produce,98122.0,1.0,1.0
20072898,"ONION, ITALIAN RED #3",88.0,2.97,2.97
20072898,"HERBS, DILL BABY   #1",0.0,11.0,11.0
20072898,"HERBS, PARSLEY, ITALIAN    BN6",80.0,5.94,5.94
20072898,Sales Tax 10.25%,50.0,82.09,82.09
20074433,Frank's Quality Produce,98122.0,1.0,1.0
20074433,"TOMATO, ROMA   #5",88.0,9.95,9.95
20074433,"ONION, ITALIAN RED #5",0.0,4.95,4.95
20074433,Sales Tax 10.25%,50.0,45.28,45.28
20074433,Frank's Quality Produce,98122.0,1.0,1.0
20074433,"TOMATO, ROMA   #5",88.0,9.95,9.95
20074433,"ONION, ITALIAN RED #5",0.0,4.95,4.95
20074433,Sales Tax 10.25%,50.0,45.28,45.28
20075310,Frank's Quality Produce,98122.0,1.0,1.0
20075310,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20075310,"ONION, GREEN   12BN BAG2",88.0,20.0,20.0
20075310,Sales Tax 10.25%,50.0,74.26,74.26
20075310,Frank's Quality Produce,98122.0,1.0,1.0
20075310,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20075310,"ONION, GREEN   12BN BAG2",88.0,20.0,20.0
20075310,Sales Tax 10.25%,50.0,74.26,74.26
20076301,Frank's Quality Produce,98122.0,1.0,1.0
20076301,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20076301,"CUCUMBER, XFANCY LG   EA20",94.0,19.8,19.8
20076301,FUEL SURCHARGE,0.0,7.5,7.5
20076301,Frank's Quality Produce,98122.0,1.0,1.0
20076301,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20076301,"CUCUMBER, XFANCY LG   EA20",94.0,19.8,19.8
20076301,FUEL SURCHARGE,0.0,7.5,7.5
20077622,Frank's Quality Produce,98122.0,1.0,1.0
20077622,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20077622,"CUCUMBER, XFANCY LG   EA14",94.0,13.86,13.86
20077622,"ONION, ITALIAN RED #7",0.0,6.93,6.93
20077622,Sales Tax 10.25%,50.0,79.11,79.11
20077622,Frank's Quality Produce,98122.0,1.0,1.0
20077622,"HERBS, DILL BABY   #1",88.0,11.0,11.0
20077622,"CUCUMBER, XFANCY LG   EA14",94.0,13.86,13.86
20077622,"ONION, ITALIAN RED #7",0.0,6.93,6.93
20077622,Sales Tax 10.25%,50.0,79.11,79.11
20078834,Frank's Quality Produce,98122.0,1.0,1.0
20078834,"CUCUMBER, XFANCY LG   EA15",0.0,14.85,14.85
20078834,FUEL SURCHARGE,0.0,7.5,7.5
20078834,Frank's Quality Produce,98122.0,1.0,1.0
20078834,"CUCUMBER, XFANCY LG   EA15",0.0,14.85,14.85
20078834,FUEL SURCHARGE,0.0,7.5,7.5
